field	value
id	58
created_at	2026-05-14 08:01:16.210568
status	success
run_type	strategy_script
strategy_id	3
strategy_name	dca_grid
market	Crypto
symbol	BTC/USDT
timeframe	15m
start_date	2026-02-13
end_date	2026-05-14
initial_capital	1000.00000000
commission	0.000000
slippage	0.000000
leverage	5
trade_direction	long
engine_version	strategy-backtest-v1
code_hash	82e1544e00a0e53c2a712435302323d354674bfb1f66633080974358d5a32de1
totalReturn	1353.49
annualReturn	5468.89
maxDrawdown	-100.0
sharpeRatio	3.95
winRate	86.84
profitFactor	17.97
totalTrades	38
totalProfit	13534.88
totalCommission	0.0
